,町丁目,世帯数,総数,男,女,年度,月次,公開件数
1468,本駒込三丁目,1789,3234,1536,1698,2015,10,70
1469,本駒込四丁目,2127,4172,2007,2165,2015,10,84
1470,本駒込五丁目,3069,5720,2744,2976,2015,10,157
1471,本駒込六丁目,1802,3547,1628,1919,2015,10,70
1472,後楽一丁目,442,735,366,369,2015,11,4
1473,後楽二丁目,860,1508,748,760,2015,11,47
1474,春日一丁目,952,1512,679,833,2015,11,57
1475,春日二丁目,2044,4041,1936,2105,2015,11,74
1476,小石川一丁目,1897,3588,1652,1936,2015,11,45
1477,小石川二丁目,2143,3923,1868,2055,2015,11,57
1478,小石川三丁目,2495,5141,2448,2693,2015,11,47
1479,小石川四丁目,1678,3347,1522,1825,2015,11,74
1480,小石川五丁目,2915,5571,2549,3022,2015,11,158
1481,白山一丁目,2625,4674,2291,2383,2015,11,112
1482,白山二丁目,2235,4140,2036,2104,2015,11,133
1483,白山三丁目,538,1028,501,527,2015,11,24
1484,白山四丁目,2252,4336,2063,2273,2015,11,57
1485,白山五丁目,2133,3770,1728,2042,2015,11,112
1486,千石一丁目,1887,3835,1797,2038,2015,11,62
1487,千石二丁目,2010,4158,2015,2143,2015,11,52
1488,千石三丁目,2102,4252,2034,2218,2015,11,53
1489,千石四丁目,3195,5530,2650,2880,2015,11,194
1490,水道一丁目,1401,2595,1284,1311,2015,11,46
1491,水道二丁目,1925,3076,1552,1524,2015,11,103
1492,小日向一丁目,1146,2249,1029,1220,2015,11,13
1493,小日向二丁目,1081,2413,1159,1254,2015,11,32
1494,小日向三丁目,642,1281,610,671,2015,11,26
1495,小日向四丁目,947,1769,839,930,2015,11,62
1496,大塚一丁目,536,1149,517,632,2015,11,7
1497,大塚二丁目,1060,1930,822,1108,2015,11,23
1498,大塚三丁目,2087,3483,1613,1870,2015,11,170
1499,大塚四丁目,1805,3084,1432,1652,2015,11,64
1500,大塚五丁目,2392,4336,2063,2273,2015,11,75
1501,大塚六丁目,2212,3826,1924,1902,2015,11,63
1502,関口一丁目,2648,4482,2097,2385,2015,11,93
1503,関口二丁目,486,1009,478,531,2015,11,12
1504,関口三丁目,444,920,449,471,2015,11,10
1505,目白台一丁目,1267,2220,1191,1029,2015,11,28
1506,目白台二丁目,1166,2130,1004,1126,2015,11,23
1507,目白台三丁目,1322,2531,1166,1365,2015,11,38
1508,音羽一丁目,2359,4015,1800,2215,2015,11,99
1509,音羽二丁目,959,1717,756,961,2015,11,37
1510,本郷一丁目,2116,4129,1901,2228,2015,11,72
1511,本郷二丁目,1834,3074,1455,1619,2015,11,91
1512,本郷三丁目,1928,3010,1388,1622,2015,11,72
1513,本郷四丁目,2243,4095,1953,2142,2015,11,71
1514,本郷五丁目,1893,3352,1711,1641,2015,11,55
1515,本郷六丁目,1099,1902,950,952,2015,11,48
1516,湯島一丁目,470,685,316,369,2015,11,15
1517,湯島二丁目,1647,2705,1370,1335,2015,11,75
1518,湯島三丁目,1835,2823,1395,1428,2015,11,181
1519,湯島四丁目,1181,2120,1060,1060,2015,11,41
1520,西片一丁目,1187,2378,1135,1243,2015,11,39
1521,西片二丁目,1448,2869,1418,1451,2015,11,38
1522,向丘一丁目,1811,3300,1656,1644,2015,11,114
1523,向丘二丁目,1863,3243,1522,1721,2015,11,66
1524,弥生一丁目,231,413,202,211,2015,11,5
1525,弥生二丁目,819,1551,751,800,2015,11,47
1526,根津一丁目,1376,2484,1108,1376,2015,11,20
1527,根津二丁目,2220,3787,1807,1980,2015,11,62
1528,千駄木一丁目,714,1487,685,802,2015,11,19
1529,千駄木二丁目,2531,4367,2067,2300,2015,11,96
1530,千駄木三丁目,3795,6742,3202,3540,2015,11,147
1531,千駄木四丁目,1627,3037,1495,1542,2015,11,70
1532,千駄木五丁目,2239,4608,2222,2386,2015,11,91
1533,本駒込一丁目,2345,4573,2156,2417,2015,11,93
1534,本駒込二丁目,2596,4960,2417,2543,2015,11,110
1535,本駒込三丁目,1790,3244,1542,1702,2015,11,60
1536,本駒込四丁目,2125,4173,2008,2165,2015,11,63
1537,本駒込五丁目,3068,5716,2736,2980,2015,11,172
1538,本駒込六丁目,1803,3554,1635,1919,2015,11,75
1539,後楽一丁目,432,719,355,364,2015,12,5
1540,後楽二丁目,855,1503,746,757,2015,12,34
1541,春日一丁目,952,1511,678,833,2015,12,61
1542,春日二丁目,2033,4034,1934,2100,2015,12,77
1543,小石川一丁目,1879,3552,1638,1914,2015,12,38
1544,小石川二丁目,2143,3926,1875,2051,2015,12,67
1545,小石川三丁目,2494,5145,2447,2698,2015,12,66
1546,小石川四丁目,1737,3493,1596,1897,2015,12,71
1547,小石川五丁目,2895,5543,2528,3015,2015,12,136
1548,白山一丁目,2628,4667,2292,2375,2015,12,119
1549,白山二丁目,2238,4154,2044,2110,2015,12,147
1550,白山三丁目,534,1021,500,521,2015,12,24
1551,白山四丁目,2258,4340,2060,2280,2015,12,61
1552,白山五丁目,2127,3756,1720,2036,2015,12,112
1553,千石一丁目,1884,3828,1792,2036,2015,12,78
1554,千石二丁目,2020,4186,2027,2159,2015,12,49
1555,千石三丁目,2121,4289,2054,2235,2015,12,52
1556,千石四丁目,3202,5538,2648,2890,2015,12,213
1557,水道一丁目,1405,2604,1286,1318,2015,12,46
1558,水道二丁目,1951,3106,1565,1541,2015,12,113
1559,小日向一丁目,1150,2255,1031,1224,2015,12,15
1560,小日向二丁目,1082,2413,1159,1254,2015,12,38
1561,小日向三丁目,645,1284,611,673,2015,12,22
1562,小日向四丁目,941,1762,834,928,2015,12,68
1563,大塚一丁目,531,1139,512,627,2015,12,8
1564,大塚二丁目,1055,1924,820,1104,2015,12,18
1565,大塚三丁目,2084,3469,1606,1863,2015,12,159
1566,大塚四丁目,1787,3054,1417,1637,2015,12,74
1567,大塚五丁目,2394,4342,2058,2284,2015,12,92
1568,大塚六丁目,2214,3826,1928,1898,2015,12,54
1569,関口一丁目,2641,4470,2094,2376,2015,12,125
1570,関口二丁目,491,1016,481,535,2015,12,10
1571,関口三丁目,447,923,450,473,2015,12,12
1572,目白台一丁目,1259,2213,1187,1026,2015,12,34
1573,目白台二丁目,1170,2139,1009,1130,2015,12,26
1574,目白台三丁目,1322,2540,1169,1371,2015,12,45
1575,音羽一丁目,2358,4011,1798,2213,2015,12,93
1576,音羽二丁目,966,1730,759,971,2015,12,41
1577,本郷一丁目,2125,4158,1912,2246,2015,12,83
1578,本郷二丁目,1836,3078,1457,1621,2015,12,99
1579,本郷三丁目,1920,3004,1381,1623,2015,12,83
1580,本郷四丁目,2247,4104,1956,2148,2015,12,72
1581,本郷五丁目,1890,3351,1712,1639,2015,12,53
1582,本郷六丁目,1102,1909,957,952,2015,12,43
1583,湯島一丁目,470,690,321,369,2015,12,20
1584,湯島二丁目,1636,2687,1367,1320,2015,12,77
1585,湯島三丁目,1840,2823,1400,1423,2015,12,146
1586,湯島四丁目,1180,2112,1058,1054,2015,12,43
1587,西片一丁目,1184,2380,1138,1242,2015,12,33
1588,西片二丁目,1457,2884,1435,1449,2015,12,38
1589,向丘一丁目,1819,3329,1670,1659,2015,12,98
1590,向丘二丁目,1863,3239,1519,1720,2015,12,65
1591,弥生一丁目,233,416,204,212,2015,12,3
1592,弥生二丁目,816,1548,743,805,2015,12,44
1593,根津一丁目,1377,2485,1105,1380,2015,12,29
1594,根津二丁目,2237,3806,1813,1993,2015,12,50
1595,千駄木一丁目,715,1490,686,804,2015,12,20
1596,千駄木二丁目,2520,4356,2061,2295,2015,12,104
1597,千駄木三丁目,3795,6744,3202,3542,2015,12,145
1598,千駄木四丁目,1625,3026,1486,1540,2015,12,69
1599,千駄木五丁目,2233,4611,2220,2391,2015,12,88
1600,本駒込一丁目,2343,4567,2151,2416,2015,12,91
1601,本駒込二丁目,2601,4972,2420,2552,2015,12,109
1602,本駒込三丁目,1794,3253,1545,1708,2015,12,50
1603,本駒込四丁目,2126,4164,2002,2162,2015,12,69
1604,本駒込五丁目,3079,5734,2744,2990,2015,12,181
1605,本駒込六丁目,1806,3559,1642,1917,2015,12,65
1606,後楽一丁目,519,815,437,378,2014,1,10
1607,後楽二丁目,822,1475,744,731,2014,1,85
1608,春日一丁目,970,1536,710,826,2014,1,63
1609,春日二丁目,1983,3931,1869,2062,2014,1,91
1610,小石川一丁目,1991,3670,1687,1983,2014,1,96
1611,小石川二丁目,2093,3819,1795,2024,2014,1,103
1612,小石川三丁目,2416,4950,2364,2586,2014,1,84
1613,小石川四丁目,1707,3369,1503,1866,2014,1,82
1614,小石川五丁目,2853,5406,2502,2904,2014,1,168
1615,白山一丁目,2527,4549,2238,2311,2014,1,139
1616,白山二丁目,2162,4019,1954,2065,2014,1,104
1617,白山三丁目,531,1040,497,543,2014,1,20
1618,白山四丁目,2245,4330,2064,2266,2014,1,75
1619,白山五丁目,2065,3665,1688,1977,2014,1,135
1620,千石一丁目,1848,3832,1803,2029,2014,1,66
1621,千石二丁目,1915,3898,1850,2048,2014,1,73
1622,千石三丁目,2126,4281,2087,2194,2014,1,75
1623,千石四丁目,3005,5264,2516,2748,2014,1,226
1624,水道一丁目,1368,2535,1227,1308,2014,1,83
1625,水道二丁目,1813,2918,1475,1443,2014,1,149
1626,小日向一丁目,1081,2117,967,1150,2014,1,15
1627,小日向二丁目,1065,2390,1158,1232,2014,1,26
1628,小日向三丁目,657,1305,640,665,2014,1,19
1629,小日向四丁目,924,1733,826,907,2014,1,61
1630,大塚一丁目,548,1186,549,637,2014,1,8
1631,大塚二丁目,990,1835,804,1031,2014,1,32
1632,大塚三丁目,1935,3267,1500,1767,2014,1,160
1633,大塚四丁目,1701,2945,1354,1591,2014,1,64
1634,大塚五丁目,2307,4204,1994,2210,2014,1,130
1635,大塚六丁目,2118,3655,1836,1819,2014,1,98
1636,関口一丁目,2422,4189,1968,2221,2014,1,218
1637,関口二丁目,446,915,428,487,2014,1,24
1638,関口三丁目,438,908,432,476,2014,1,37
1639,目白台一丁目,1306,2247,1244,1003,2014,1,40
1640,目白台二丁目,1130,2049,964,1085,2014,1,26
1641,目白台三丁目,1304,2509,1190,1319,2014,1,49
1642,音羽一丁目,2239,3820,1693,2127,2014,1,157
1643,音羽二丁目,980,1745,746,999,2014,1,38
1644,本郷一丁目,2022,3875,1778,2097,2014,1,113
1645,本郷二丁目,1765,2978,1391,1587,2014,1,137
1646,本郷三丁目,1791,2854,1332,1522,2014,1,80
1647,本郷四丁目,2122,3840,1806,2034,2014,1,70
1648,本郷五丁目,1815,3242,1665,1577,2014,1,82
1649,本郷六丁目,1091,1838,945,893,2014,1,66
1650,湯島一丁目,434,659,289,370,2014,1,39
1651,湯島二丁目,1474,2427,1219,1208,2014,1,134
1652,湯島三丁目,1831,2862,1425,1437,2014,1,170
1653,湯島四丁目,1145,2049,1054,995,2014,1,52
1654,西片一丁目,1164,2389,1130,1259,2014,1,48
1655,西片二丁目,1454,2902,1453,1449,2014,1,54
1656,向丘一丁目,1793,3279,1649,1630,2014,1,103
1657,向丘二丁目,1878,3275,1545,1730,2014,1,71
1658,弥生一丁目,254,443,222,221,2014,1,10
1659,弥生二丁目,830,1560,756,804,2014,1,42
1660,根津一丁目,1351,2445,1094,1351,2014,1,30
1661,根津二丁目,2126,3718,1764,1954,2014,1,82
1662,千駄木一丁目,709,1456,676,780,2014,1,17
1663,千駄木二丁目,2436,4331,2027,2304,2014,1,127
1664,千駄木三丁目,3589,6464,3074,3390,2014,1,238
1665,千駄木四丁目,1588,2938,1447,1491,2014,1,80
1666,千駄木五丁目,2253,4576,2199,2377,2014,1,95
1667,本駒込一丁目,2266,4391,2066,2325,2014,1,98
1668,本駒込二丁目,2486,4741,2282,2459,2014,1,98
1669,本駒込三丁目,1805,3190,1508,1682,2014,1,71
1670,本駒込四丁目,2099,4118,1995,2123,2014,1,89
1671,本駒込五丁目,2928,5448,2631,2817,2014,1,189
1672,本駒込六丁目,1617,3215,1449,1766,2014,1,94
1673,後楽一丁目,512,805,429,376,2014,2,12
1674,後楽二丁目,829,1483,750,733,2014,2,70
1675,春日一丁目,967,1533,707,826,2014,2,55
1676,春日二丁目,1995,3950,1875,2075,2014,2,106
1677,小石川一丁目,1986,3663,1685,1978,2014,2,107
1678,小石川二丁目,2100,3835,1807,2028,2014,2,111
1679,小石川三丁目,2420,4959,2364,2595,2014,2,99
1680,小石川四丁目,1714,3388,1512,1876,2014,2,81
1681,小石川五丁目,2854,5412,2500,2912,2014,2,158
1682,白山一丁目,2526,4559,2244,2315,2014,2,160
1683,白山二丁目,2164,4027,1959,2068,2014,2,114
1684,白山三丁目,528,1035,493,542,2014,2,18
1685,白山四丁目,2243,4340,2070,2270,2014,2,63
1686,白山五丁目,2060,3657,1687,1970,2014,2,139
1687,千石一丁目,1857,3855,1812,2043,2014,2,67
1688,千石二丁目,1906,3896,1845,2051,2014,2,88
1689,千石三丁目,2122,4287,2085,2202,2014,2,83
1690,千石四丁目,3001,5255,2507,2748,2014,2,190
1691,水道一丁目,1362,2527,1224,1303,2014,2,74
1692,水道二丁目,1818,2927,1475,1452,2014,2,164
1693,小日向一丁目,1080,2114,965,1149,2014,2,16
1694,小日向二丁目,1062,2390,1156,1234,2014,2,28
1695,小日向三丁目,651,1295,632,663,2014,2,20
1696,小日向四丁目,935,1738,826,912,2014,2,54
1697,大塚一丁目,547,1181,548,633,2014,2,6
1698,大塚二丁目,992,1842,807,1035,2014,2,61
1699,大塚三丁目,1933,3263,1500,1763,2014,2,172
1700,大塚四丁目,1709,2957,1358,1599,2014,2,66
1701,大塚五丁目,2304,4206,1997,2209,2014,2,104
1702,大塚六丁目,2111,3650,1834,1816,2014,2,110
1703,関口一丁目,2427,4190,1967,2223,2014,2,185
1704,関口二丁目,448,914,426,488,2014,2,26
1705,関口三丁目,435,900,425,475,2014,2,29
1706,目白台一丁目,1308,2251,1245,1006,2014,2,36
1707,目白台二丁目,1132,2052,964,1088,2014,2,28
1708,目白台三丁目,1303,2503,1186,1317,2014,2,48
1709,音羽一丁目,2252,3836,1699,2137,2014,2,125
1710,音羽二丁目,987,1755,750,1005,2014,2,45
1711,本郷一丁目,2028,3880,1770,2110,2014,2,102
1712,本郷二丁目,1744,2951,1375,1576,2014,2,142
1713,本郷三丁目,1799,2853,1334,1519,2014,2,78
1714,本郷四丁目,2134,3853,1814,2039,2014,2,59
1715,本郷五丁目,1805,3227,1653,1574,2014,2,114
1716,本郷六丁目,1086,1826,937,889,2014,2,65
1717,湯島一丁目,435,663,293,370,2014,2,38
1718,湯島二丁目,1480,2438,1225,1213,2014,2,93
1719,湯島三丁目,1838,2861,1431,1430,2014,2,174
1720,湯島四丁目,1148,2052,1059,993,2014,2,45
1721,西片一丁目,1171,2394,1135,1259,2014,2,32
1722,西片二丁目,1453,2899,1447,1452,2014,2,41
1723,向丘一丁目,1797,3271,1646,1625,2014,2,106
1724,向丘二丁目,1869,3267,1541,1726,2014,2,80
1725,弥生一丁目,253,442,223,219,2014,2,8
1726,弥生二丁目,832,1565,757,808,2014,2,36
1727,根津一丁目,1351,2450,1099,1351,2014,2,26
1728,根津二丁目,2125,3714,1768,1946,2014,2,86
1729,千駄木一丁目,709,1459,677,782,2014,2,17
1730,千駄木二丁目,2443,4339,2026,2313,2014,2,120
1731,千駄木三丁目,3583,6466,3084,3382,2014,2,255
1732,千駄木四丁目,1587,2944,1446,1498,2014,2,69
1733,千駄木五丁目,2258,4587,2203,2384,2014,2,93
1734,本駒込一丁目,2269,4388,2061,2327,2014,2,112
1735,本駒込二丁目,2490,4756,2288,2468,2014,2,107
1736,本駒込三丁目,1808,3202,1515,1687,2014,2,69
1737,本駒込四丁目,2099,4115,1992,2123,2014,2,105
1738,本駒込五丁目,2938,5469,2637,2832,2014,2,170
1739,本駒込六丁目,1607,3204,1447,1757,2014,2,91
1740,後楽一丁目,523,815,439,376,2014,3,15
1741,後楽二丁目,825,1477,746,731,2014,3,82
1742,春日一丁目,971,1536,706,830,2014,3,69
1743,春日二丁目,2006,3972,1891,2081,2014,3,96
1744,小石川一丁目,1993,3672,1687,1985,2014,3,97
1745,小石川二丁目,2090,3818,1801,2017,2014,3,135
1746,小石川三丁目,2419,4949,2354,2595,2014,3,78
1747,小石川四丁目,1715,3379,1511,1868,2014,3,90
1748,小石川五丁目,2853,5415,2501,2914,2014,3,172
1749,白山一丁目,2523,4557,2243,2314,2014,3,138
1750,白山二丁目,2163,4024,1960,2064,2014,3,113
1751,白山三丁目,524,1025,489,536,2014,3,17
1752,白山四丁目,2235,4328,2066,2262,2014,3,84
1753,白山五丁目,2058,3658,1690,1968,2014,3,148
1754,千石一丁目,1856,3853,1805,2048,2014,3,52
1755,千石二丁目,1922,3925,1863,2062,2014,3,82
1756,千石三丁目,2116,4270,2080,2190,2014,3,65
1757,千石四丁目,3010,5262,2512,2750,2014,3,142
1758,水道一丁目,1364,2535,1230,1305,2014,3,64
1759,水道二丁目,1826,2935,1485,1450,2014,3,180
1760,小日向一丁目,1078,2114,963,1151,2014,3,15
1761,小日向二丁目,1063,2387,1154,1233,2014,3,26
1762,小日向三丁目,651,1298,634,664,2014,3,33
1763,小日向四丁目,940,1748,831,917,2014,3,67
1764,大塚一丁目,546,1181,548,633,2014,3,6
1765,大塚二丁目,1002,1860,811,1049,2014,3,24
1766,大塚三丁目,1919,3246,1489,1757,2014,3,189
1767,大塚四丁目,1722,2975,1369,1606,2014,3,50
1768,大塚五丁目,2326,4254,2010,2244,2014,3,114
1769,大塚六丁目,2100,3636,1826,1810,2014,3,110
1770,関口一丁目,2440,4215,1986,2229,2014,3,180
1771,関口二丁目,444,911,426,485,2014,3,20
1772,関口三丁目,437,904,429,475,2014,3,24
1773,目白台一丁目,1296,2238,1231,1007,2014,3,42
1774,目白台二丁目,1126,2042,961,1081,2014,3,33
1775,目白台三丁目,1295,2493,1178,1315,2014,3,46
1776,音羽一丁目,2276,3862,1710,2152,2014,3,125
1777,音羽二丁目,975,1741,744,997,2014,3,55
1778,本郷一丁目,2015,3861,1762,2099,2014,3,91
1779,本郷二丁目,1740,2944,1374,1570,2014,3,141
1780,本郷三丁目,1806,2871,1344,1527,2014,3,98
1781,本郷四丁目,2127,3848,1813,2035,2014,3,64
1782,本郷五丁目,1797,3221,1651,1570,2014,3,107
1783,本郷六丁目,1085,1837,936,901,2014,3,83
1784,湯島一丁目,439,666,298,368,2014,3,34
1785,湯島二丁目,1489,2455,1235,1220,2014,3,104
1786,湯島三丁目,1837,2857,1431,1426,2014,3,191
1787,湯島四丁目,1153,2055,1060,995,2014,3,49
1788,西片一丁目,1173,2392,1130,1262,2014,3,45
1789,西片二丁目,1457,2896,1447,1449,2014,3,41
1790,向丘一丁目,1789,3259,1637,1622,2014,3,106
1791,向丘二丁目,1861,3251,1530,1721,2014,3,109
1792,弥生一丁目,252,437,220,217,2014,3,11
1793,弥生二丁目,826,1556,748,808,2014,3,41
1794,根津一丁目,1366,2466,1107,1359,2014,3,53
1795,根津二丁目,2126,3718,1765,1953,2014,3,89
1796,千駄木一丁目,705,1457,678,779,2014,3,18
1797,千駄木二丁目,2439,4333,2025,2308,2014,3,128
1798,千駄木三丁目,3593,6494,3102,3392,2014,3,207
1799,千駄木四丁目,1581,2946,1443,1503,2014,3,67
1800,千駄木五丁目,2257,4602,2212,2390,2014,3,88
1801,本駒込一丁目,2269,4390,2070,2320,2014,3,143
1802,本駒込二丁目,2495,4763,2293,2470,2014,3,117
1803,本駒込三丁目,1795,3200,1513,1687,2014,3,82
1804,本駒込四丁目,2102,4119,1995,2124,2014,3,115
1805,本駒込五丁目,2940,5469,2638,2831,2014,3,152
1806,本駒込六丁目,1609,3196,1446,1750,2014,3,90
1807,後楽一丁目,518,807,430,377,2014,4,20
1808,後楽二丁目,813,1450,732,718,2014,4,68
1809,春日一丁目,979,1549,714,835,2014,4,55
1810,春日二丁目,2032,3998,1911,2087,2014,4,91
1811,小石川一丁目,1989,3680,1692,1988,2014,4,79
1812,小石川二丁目,2089,3822,1802,2020,2014,4,107
1813,小石川三丁目,2410,4934,2340,2594,2014,4,71
1814,小石川四丁目,1705,3365,1511,1854,2014,4,71
1815,小石川五丁目,2855,5411,2484,2927,2014,4,132
1816,白山一丁目,2520,4547,2237,2310,2014,4,129
1817,白山二丁目,2144,3990,1944,2046,2014,4,119
1818,白山三丁目,526,1018,484,534,2014,4,18
1819,白山四丁目,2239,4329,2056,2273,2014,4,77
1820,白山五丁目,2064,3662,1686,1976,2014,4,131
1821,千石一丁目,1861,3860,1811,2049,2014,4,45
1822,千石二丁目,1913,3903,1859,2044,2014,4,80
1823,千石三丁目,2136,4292,2068,2224,2014,4,70
1824,千石四丁目,3037,5279,2517,2762,2014,4,140
1825,水道一丁目,1373,2548,1238,1310,2014,4,51
1826,水道二丁目,1850,2961,1500,1461,2014,4,139
1827,小日向一丁目,1078,2111,959,1152,2014,4,11
1828,小日向二丁目,1070,2392,1151,1241,2014,4,31
1829,小日向三丁目,642,1293,630,663,2014,4,29
1830,小日向四丁目,949,1763,837,926,2014,4,46
1831,大塚一丁目,538,1165,542,623,2014,4,6
1832,大塚二丁目,1034,1915,828,1087,2014,4,21
1833,大塚三丁目,1945,3298,1517,1781,2014,4,158
1834,大塚四丁目,1759,3000,1393,1607,2014,4,51
1835,大塚五丁目,2328,4269,2014,2255,2014,4,95
1836,大塚六丁目,2117,3656,1838,1818,2014,4,117
1837,関口一丁目,2449,4220,1989,2231,2014,4,165
1838,関口二丁目,451,924,431,493,2014,4,15
1839,関口三丁目,443,907,434,473,2014,4,18
1840,目白台一丁目,1271,2216,1213,1003,2014,4,41
1841,目白台二丁目,1134,2062,968,1094,2014,4,34
1842,目白台三丁目,1284,2495,1180,1315,2014,4,36
1843,音羽一丁目,2299,3879,1719,2160,2014,4,107
1844,音羽二丁目,978,1735,747,988,2014,4,54
1845,本郷一丁目,2049,3932,1803,2129,2014,4,107
1846,本郷二丁目,1739,2940,1378,1562,2014,4,121
1847,本郷三丁目,1819,2893,1354,1539,2014,4,98
1848,本郷四丁目,2151,3901,1830,2071,2014,4,74
1849,本郷五丁目,1824,3255,1670,1585,2014,4,87
1850,本郷六丁目,1093,1873,945,928,2014,4,66
1851,湯島一丁目,455,680,303,377,2014,4,43
1852,湯島二丁目,1501,2457,1238,1219,2014,4,75
1853,湯島三丁目,1819,2830,1407,1423,2014,4,183
1854,湯島四丁目,1153,2051,1058,993,2014,4,44
1855,西片一丁目,1165,2374,1119,1255,2014,4,45
1856,西片二丁目,1458,2904,1451,1453,2014,4,42
1857,向丘一丁目,1784,3261,1636,1625,2014,4,100
1858,向丘二丁目,1898,3269,1520,1749,2014,4,104
1859,弥生一丁目,249,436,221,215,2014,4,11
1860,弥生二丁目,821,1561,745,816,2014,4,29
1861,根津一丁目,1369,2455,1096,1359,2014,4,44
1862,根津二丁目,2140,3718,1762,1956,2014,4,92
1863,千駄木一丁目,704,1452,677,775,2014,4,17
1864,千駄木二丁目,2439,4315,2020,2295,2014,4,134
1865,千駄木三丁目,3617,6516,3095,3421,2014,4,186
1866,千駄木四丁目,1591,2961,1461,1500,2014,4,73
1867,千駄木五丁目,2255,4598,2211,2387,2014,4,83
1868,本駒込一丁目,2295,4437,2092,2345,2014,4,130
1869,本駒込二丁目,2478,4745,2283,2462,2014,4,109
1870,本駒込三丁目,1795,3195,1502,1693,2014,4,62
1871,本駒込四丁目,2103,4123,1995,2128,2014,4,98
1872,本駒込五丁目,2949,5494,2657,2837,2014,4,149
1873,本駒込六丁目,1647,3229,1455,1774,2014,4,83
1874,後楽一丁目,544,830,446,384,2014,5,15
1875,後楽二丁目,831,1473,743,730,2014,5,74
1876,春日一丁目,972,1541,708,833,2014,5,67
1877,春日二丁目,2023,3984,1902,2082,2014,5,98
1878,小石川一丁目,1984,3670,1691,1979,2014,5,80
1879,小石川二丁目,2079,3805,1786,2019,2014,5,110
1880,小石川三丁目,2409,4934,2344,2590,2014,5,94
1881,小石川四丁目,1712,3370,1522,1848,2014,5,75
1882,小石川五丁目,2866,5415,2489,2926,2014,5,128
1883,白山一丁目,2523,4543,2236,2307,2014,5,138
1884,白山二丁目,2157,4005,1957,2048,2014,5,101
1885,白山三丁目,525,1019,487,532,2014,5,24
1886,白山四丁目,2237,4312,2039,2273,2014,5,81
1887,白山五丁目,2051,3650,1682,1968,2014,5,143
1888,千石一丁目,1873,3859,1810,2049,2014,5,61
1889,千石二丁目,1919,3906,1860,2046,2014,5,81
1890,千石三丁目,2138,4304,2073,2231,2014,5,78
1891,千石四丁目,3063,5308,2530,2778,2014,5,160
1892,水道一丁目,1383,2556,1246,1310,2014,5,68
1893,水道二丁目,1853,2969,1502,1467,2014,5,144
1894,小日向一丁目,1087,2122,964,1158,2014,5,17
1895,小日向二丁目,1071,2386,1149,1237,2014,5,34
1896,小日向三丁目,640,1289,627,662,2014,5,37
1897,小日向四丁目,956,1775,840,935,2014,5,50
1898,大塚一丁目,552,1178,545,633,2014,5,3
1899,大塚二丁目,1060,1943,833,1110,2014,5,17
1900,大塚三丁目,1979,3346,1548,1798,2014,5,161
1901,大塚四丁目,1762,3005,1402,1603,2014,5,52
1902,大塚五丁目,2337,4264,2017,2247,2014,5,116
1903,大塚六丁目,2138,3696,1863,1833,2014,5,112
1904,関口一丁目,2465,4227,1985,2242,2014,5,178
1905,関口二丁目,453,935,433,502,2014,5,18
1906,関口三丁目,447,904,433,471,2014,5,11
1907,目白台一丁目,1295,2236,1236,1000,2014,5,31
1908,目白台二丁目,1154,2118,994,1124,2014,5,36
1909,目白台三丁目,1318,2541,1203,1338,2014,5,40
1910,音羽一丁目,2332,3919,1737,2182,2014,5,132
1911,音羽二丁目,978,1747,755,992,2014,5,58
1912,本郷一丁目,2106,4061,1864,2197,2014,5,114
1913,本郷二丁目,1744,2931,1387,1544,2014,5,122
1914,本郷三丁目,1823,2895,1354,1541,2014,5,103
1915,本郷四丁目,2171,3940,1854,2086,2014,5,77
1916,本郷五丁目,1842,3287,1689,1598,2014,5,75
1917,本郷六丁目,1103,1880,948,932,2014,5,56
1918,湯島一丁目,461,690,310,380,2014,5,47
1919,湯島二丁目,1509,2476,1251,1225,2014,5,93
1920,湯島三丁目,1786,2786,1380,1406,2014,5,204
1921,湯島四丁目,1157,2043,1050,993,2014,5,46
1922,西片一丁目,1166,2381,1124,1257,2014,5,47
1923,西片二丁目,1452,2894,1448,1446,2014,5,56
1924,向丘一丁目,1806,3286,1653,1633,2014,5,110
1925,向丘二丁目,1899,3256,1511,1745,2014,5,120
1926,弥生一丁目,252,439,221,218,2014,5,14
1927,弥生二丁目,826,1568,755,813,2014,5,41
1928,根津一丁目,1376,2465,1095,1370,2014,5,38
1929,根津二丁目,2117,3670,1738,1932,2014,5,102
1930,千駄木一丁目,705,1452,675,777,2014,5,27
1931,千駄木二丁目,2460,4330,2025,2305,2014,5,129
1932,千駄木三丁目,3658,6579,3132,3447,2014,5,186
1933,千駄木四丁目,1591,2939,1449,1490,2014,5,80
1934,千駄木五丁目,2270,4608,2215,2393,2014,5,88
1935,本駒込一丁目,2304,4465,2107,2358,2014,5,130
1936,本駒込二丁目,2519,4776,2295,2481,2014,5,108
1937,本駒込三丁目,1794,3194,1504,1690,2014,5,72
1938,本駒込四丁目,2115,4133,2004,2129,2014,5,74
1939,本駒込五丁目,2961,5510,2660,2850,2014,5,146
1940,本駒込六丁目,1649,3228,1455,1773,2014,5,84
1941,後楽一丁目,564,853,471,382,2014,6,15
1942,後楽二丁目,831,1475,741,734,2014,6,54
1943,春日一丁目,964,1534,704,830,2014,6,68
1944,春日二丁目,2021,3984,1898,2086,2014,6,93
1945,小石川一丁目,1986,3678,1691,1987,2014,6,107
1946,小石川二丁目,2084,3818,1793,2025,2014,6,107
1947,小石川三丁目,2409,4934,2342,2592,2014,6,85
